
2018-03-05 09:30:00 - INFO  - 000830.XSHE（鲁西化工）的排名为：1,分数为：75.0

2018-03-05 09:30:00 - INFO  - 600519.XSHG（贵州茅台）的排名为：2,分数为：73.0

2018-03-05 09:30:00 - INFO  - 000651.XSHE（格力电器）的排名为：3,分数为：69.0

2018-03-05 09:30:00 - INFO  - 601888.XSHG（中国国旅）的排名为：4,分数为：69.0

2018-03-05 09:30:00 - INFO  - 600460.XSHG（士兰微）的排名为：5,分数为：68.0

2018-03-05 09:30:00 - INFO  - 002050.XSHE（三花智控）的排名为：6,分数为：67.0

2018-03-05 09:30:00 - INFO  - 002044.XSHE（美年健康）的排名为：7,分数为：64.0

2018-03-05 09:30:00 - INFO  - 300015.XSHE（爱尔眼科）的排名为：8,分数为：63.0

2018-03-05 09:30:00 - INFO  - 601155.XSHG（新城控股）的排名为：9,分数为：63.0

2018-03-05 09:30:00 - INFO  - 002032.XSHE（苏泊尔）的排名为：10,分数为：61.0

2018-03-05 09:30:00 - INFO  - 002614.XSHE（奥佳华）的排名为：11,分数为：60.0

2018-03-05 09:30:00 - INFO  - 300176.XSHE（鸿特精密）的排名为：12,分数为：59.0

2018-03-05 09:30:00 - INFO  - 300347.XSHE（泰格医药）的排名为：13,分数为：59.0

2018-03-05 09:30:00 - INFO  - 601012.XSHG（隆基股份）的排名为：14,分数为：59.0

2018-03-05 09:30:00 - INFO  - 002415.XSHE（海康威视）的排名为：15,分数为：58.0

2018-03-05 09:30:00 - INFO  - 002677.XSHE（浙江美大）的排名为：16,分数为：57.0

2018-03-05 09:30:00 - INFO  - 600009.XSHG（上海机场）的排名为：17,分数为：57.0

2018-03-05 09:30:00 - INFO  - 600516.XSHG（方大炭素）的排名为：18,分数为：57.0

2018-03-05 09:30:00 - INFO  - 603369.XSHG（今世缘）的排名为：19,分数为：57.0

2018-03-05 09:30:00 - INFO  - 000703.XSHE（恒逸石化）的排名为：20,分数为：54.0

2018-03-05 09:30:00 - INFO  - 000729.XSHE（燕京啤酒）的排名为：21,分数为：54.0

2018-03-05 09:30:00 - INFO  - 600346.XSHG（恒力股份）的排名为：22,分数为：54.0

2018-03-05 09:30:00 - INFO  - 600507.XSHG（方大特钢）的排名为：23,分数为：54.0

2018-03-05 09:30:00 - INFO  - 600763.XSHG（通策医疗）的排名为：24,分数为：54.0

2018-03-05 09:30:00 - INFO  - 300308.XSHE（中际旭创）的排名为：25,分数为：53.0

2018-03-05 09:30:00 - INFO  - 600581.XSHG（八一钢铁）的排名为：26,分数为：53.0

2018-03-05 09:30:00 - INFO  - 000019.XSHE（深深宝Ａ）的排名为：27,分数为：52.0

2018-03-05 09:30:00 - INFO  - 002008.XSHE（大族激光）的排名为：28,分数为：52.0

2018-03-05 09:30:00 - INFO  - 600004.XSHG（白云机场）的排名为：29,分数为：52.0

2018-03-05 09:30:00 - INFO  - 601111.XSHG（中国国航）的排名为：30,分数为：52.0

2018-03-05 09:30:00 - INFO  - 600276.XSHG（恒瑞医药）的排名为：31,分数为：51.0

2018-03-05 09:30:00 - INFO  - 002493.XSHE（荣盛石化）的排名为：32,分数为：50.0

2018-03-05 09:30:00 - INFO  - 300142.XSHE（沃森生物）的排名为：33,分数为：50.0

2018-03-05 09:30:00 - INFO  - 603799.XSHG（华友钴业）的排名为：34,分数为：50.0

2018-03-05 09:30:00 - INFO  - 002049.XSHE（紫光国芯）的排名为：35,分数为：49.0

2018-03-05 09:30:00 - INFO  - 600703.XSHG（三安光电）的排名为：36,分数为：49.0

2018-03-05 09:30:00 - INFO  - 601233.XSHG（桐昆股份）的排名为：37,分数为：49.0

2018-03-05 09:30:00 - INFO  - 000932.XSHE（华菱钢铁）的排名为：38,分数为：48.0

2018-03-05 09:30:00 - INFO  - 300009.XSHE（安科生物）的排名为：39,分数为：48.0

2018-03-05 09:30:00 - INFO  - 300413.XSHE（快乐购）的排名为：40,分数为：48.0

2018-03-05 09:30:00 - INFO  - 600585.XSHG（海螺水泥）的排名为：41,分数为：48.0

